序号	作物	成果名称	审定或鉴定单位	编号	时间	完成人	选育单位
146	油菜	圣光158	全国农业技术推广服务中心	GPD油菜（2017）420205（国家长江下游）	2017	杨光圣、董发明、洪登峰、万丽丽	华中农业大学，武汉联农种业科技责任有限公司
145	油菜	华油杂50	全国农业技术推广服务中心	GPD油菜（2017）420204（国家长江中、下游）	2017	董发明、杨光圣、洪登峰、万丽丽	华中农业大学，武汉联农种业科技责任有限公司
144	油菜	圣光131	全国农业技术推广服务中心	GPD油菜（2017）420022（国家长江上游）	2017	杨光圣、董发明、洪登峰、万丽丽	华中农业大学，武汉联农种业科技责任有限公司
143	油菜	华油杂133	全国农业技术推广服务中心	GPD油菜（2017）420023（国家长江中游）	2017	董发明、杨光圣、洪登峰、万丽丽	华中农业大学，武汉联农种业科技责任有限公司
142	
华棉3097	湖北省农作物品种审定委员会	鄂审棉2017005	2017/6/1	郭小平、张献龙	华中农业大学
141	
全两优655	湖北省农作物品种审定委员会	鄂审稻2017002	2017/6/1	何予卿、高冠军、张庆路、张启发	华中农业大学，湖北荃银高科种业有限公司，湖北中香农业科技股份有限公司
140	
华玉16	湖北省农作物品种审定委员会	鄂审玉2017009	2017/6/1	刘永忠、徐尚忠、马克军、余长平、王业红、杜雷、林勇、董福增、吴仁涛	华中农业大学，北京金色农华种业科技股份有限公司
139	
华玉707	湖北省农作物品种审定委员会	鄂审玉2017006	2017/6/1	刘永忠、徐尚忠、马克军、余长平、王业红、杜雷、邹吉祥、崔明亮、仇多传、卢宏兵	华中农业大学、合肥丰乐农业股份有限公司
138	
惠明306	湖北省农作物品种审定委员会	鄂审玉2017005	2017/6/1	刘永忠、徐尚忠、马克军、余长平、王业红、杜雷、邹吉祥、邹勇	华中农业大学、湖北省惠民农业科技有限公司
137	
华优352	湖北省农作物品种审定委员会	鄂审稻2016013	2016	牟同敏、李春海、孙焱、叶胜拓、米甲明、陈云	华中农业大学
136	
华528A	湖北省农作物品种审定委员会	鄂审稻2016033	2016	牟同敏、李春海、孙焱、叶胜拓、米甲明、陈云	华中农业大学
135	
华玉15	湖北省农作物品种审定委员会	鄂审玉2016001	2016	刘永忠 马克军	华中农业大学
134	
丰玉168	湖北省农作物品种审定委员会	鄂审玉2016008	2016	刘永忠 马克军（第二单位）	华中农业大学
133	油菜	圣光101	甘肃省农作物品种审定委员会	鄂审玉2015004	2015	杨光圣等	华中农业大学
132	油菜	华油杂137	湖北省农作物品种审定委员会	鄂审玉2015001	2015	杨光圣等	华中农业大学
131	
金玉669	湖北省农业厅种子管理局	鄂审玉2015006	2015	刘永忠，徐尚忠，马克军，杜雷，余长平，邹吉祥，王业红	华中农业大学
130	
双兴玉2号	湖北省农业厅种子管理局	鄂审玉2015002	2015	刘永忠，徐尚忠，马克军，杜雷，余长平，邹吉祥，王业红	华中农业大学
129	
腾龙838	湖北省农业厅种子管理局	鄂审玉2015003	2015	刘永忠，徐尚忠，马克军，杜雷，余长平，邹吉祥，王业红	华中农业大学
128	油菜	华油杂63	甘肃省品种审定委员会	
2015	傅廷栋	华中农业大学
127	油菜	华油杂98	湖北省农作物品种审定委员	鄂审油2015006	2015	马朝芝	华中农业大学
126	油菜	华油杂72	湖北省农作物品种审定委员	鄂审油2015005	2015	涂金星	华中农业大学
125	
华风优6086	浙江省农作物品种审定委员会	浙审稻2014005	2014	牟同敏、赵开荣、李春海、孙焱、陈云	华中农业大学
124	油菜	圣光128	国家农作物品种审定委员会	
2014	杨光圣、洪登峰、董发明、万丽丽	华中农业大学
123	油菜	圣光127	湖北省农作物品种审定委员会	鄂审油2014001	2014	杨光圣、洪登峰、董发明、万丽丽	华中农业大学
122	
